Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,Time
2025-01-13 09:30:00-05:00,154.10000610351562,157.35000610351562,154.0,156.25999450683594,2701846,0.0,0.0,2025-01-13,09:30:00-05:00
2025-01-13 10:30:00-05:00,156.2899932861328,157.0299072265625,155.72999572753906,156.02000427246094,1234647,0.0,0.0,2025-01-13,10:30:00-05:00
2025-01-13 11:30:00-05:00,156.0,156.02000427246094,154.11000061035156,154.41000366210938,948159,0.0,0.0,2025-01-13,11:30:00-05:00
2025-01-13 12:30:00-05:00,154.38999938964844,155.17999267578125,154.25999450683594,155.12750244140625,711226,0.0,0.0,2025-01-13,12:30:00-05:00
2025-01-13 13:30:00-05:00,155.11000061035156,155.47000122070312,154.8300018310547,155.35000610351562,686599,0.0,0.0,2025-01-13,13:30:00-05:00
2025-01-13 14:30:00-05:00,155.36000061035156,155.39999389648438,154.77000427246094,154.9600067138672,878256,0.0,0.0,2025-01-13,14:30:00-05:00
2025-01-13 15:30:00-05:00,154.9499969482422,155.41000366210938,154.42100524902344,155.32000732421875,1553685,0.0,0.0,2025-01-13,15:30:00-05:00
2025-01-14 09:30:00-05:00,155.2050018310547,155.64999389648438,154.4600067138672,154.96400451660156,1202746,0.0,0.0,2025-01-14,09:30:00-05:00
2025-01-14 10:30:00-05:00,154.97000122070312,155.60000610351562,154.94500732421875,155.4600067138672,637076,0.0,0.0,2025-01-14,10:30:00-05:00
2025-01-14 11:30:00-05:00,155.44000244140625,155.52000427246094,154.87429809570312,155.24000549316406,574907,0.0,0.0,2025-01-14,11:30:00-05:00
2025-01-14 12:30:00-05:00,155.22999572753906,155.9600067138672,155.08999633789062,155.88999938964844,542451,0.0,0.0,2025-01-14,12:30:00-05:00
2025-01-14 13:30:00-05:00,155.91000366210938,156.57000732421875,155.91000366210938,156.27000427246094,719387,0.0,0.0,2025-01-14,13:30:00-05:00
2025-01-14 14:30:00-05:00,156.27499389648438,156.71499633789062,156.19000244140625,156.38999938964844,712730,0.0,0.0,2025-01-14,14:30:00-05:00
2025-01-14 15:30:00-05:00,156.39999389648438,156.91000366210938,156.07000732421875,156.8300018310547,961497,0.0,0.0,2025-01-14,15:30:00-05:00
2025-01-15 09:30:00-05:00,156.875,158.22999572753906,156.3800048828125,157.9199981689453,1409912,0.0,0.0,2025-01-15,09:30:00-05:00
2025-01-15 10:30:00-05:00,157.9149932861328,158.27999877929688,157.53500366210938,158.22000122070312,736097,0.0,0.0,2025-01-15,10:30:00-05:00
2025-01-15 11:30:00-05:00,158.2100067138672,158.3000030517578,157.07000732421875,157.41000366210938,758968,0.0,0.0,2025-01-15,11:30:00-05:00
2025-01-15 12:30:00-05:00,157.39999389648438,158.3800048828125,157.36000061035156,158.1623992919922,648608,0.0,0.0,2025-01-15,12:30:00-05:00
2025-01-15 13:30:00-05:00,158.1699981689453,158.38499450683594,157.91000366210938,158.34500122070312,677390,0.0,0.0,2025-01-15,13:30:00-05:00
2025-01-15 14:30:00-05:00,158.35000610351562,158.69000244140625,158.11000061035156,158.11000061035156,833070,0.0,0.0,2025-01-15,14:30:00-05:00
2025-01-15 15:30:00-05:00,158.10000610351562,158.69000244140625,157.97999572753906,158.32000732421875,888350,0.0,0.0,2025-01-15,15:30:00-05:00
2025-01-16 09:30:00-05:00,158.02999877929688,159.89500427246094,158.02999877929688,158.77499389648438,1244987,0.0,0.0,2025-01-16,09:30:00-05:00
2025-01-16 10:30:00-05:00,158.77000427246094,159.23480224609375,158.43370056152344,158.80999755859375,569963,0.0,0.0,2025-01-16,10:30:00-05:00
2025-01-16 11:30:00-05:00,158.78709411621094,159.3699951171875,158.58999633789062,159.32000732421875,419149,0.0,0.0,2025-01-16,11:30:00-05:00
2025-01-16 12:30:00-05:00,159.30499267578125,159.60000610351562,159.14999389648438,159.4499969482422,500124,0.0,0.0,2025-01-16,12:30:00-05:00
2025-01-16 13:30:00-05:00,159.44000244140625,159.52000427246094,159.0399932861328,159.25999450683594,571865,0.0,0.0,2025-01-16,13:30:00-05:00
2025-01-16 14:30:00-05:00,159.25999450683594,159.46499633789062,159.17999267578125,159.27999877929688,569952,0.0,0.0,2025-01-16,14:30:00-05:00
2025-01-16 15:30:00-05:00,159.27099609375,159.57000732421875,159.16099548339844,159.38999938964844,579490,0.0,0.0,2025-01-16,15:30:00-05:00
2025-01-17 09:30:00-05:00,159.1300048828125,160.61500549316406,158.7978057861328,160.50999450683594,3159956,0.0,0.0,2025-01-17,09:30:00-05:00
2025-01-17 10:30:00-05:00,160.52499389648438,160.8800048828125,160.2449951171875,160.82000732421875,901973,0.0,0.0,2025-01-17,10:30:00-05:00
2025-01-17 11:30:00-05:00,160.8074951171875,161.27000427246094,160.77000427246094,161.02999877929688,880787,0.0,0.0,2025-01-17,11:30:00-05:00
2025-01-17 12:30:00-05:00,161.00999450683594,161.42999267578125,160.9600067138672,161.16529846191406,587213,0.0,0.0,2025-01-17,12:30:00-05:00
2025-01-17 13:30:00-05:00,161.1750030517578,161.5,161.13999938964844,161.16009521484375,641425,0.0,0.0,2025-01-17,13:30:00-05:00
2025-01-17 14:30:00-05:00,161.1699981689453,161.55999755859375,161.0800018310547,161.46499633789062,812956,0.0,0.0,2025-01-17,14:30:00-05:00
2025-01-17 15:30:00-05:00,161.46499633789062,161.77000427246094,161.39999389648438,161.4199981689453,1006321,0.0,0.0,2025-01-17,15:30:00-05:00
